Method	ComboName	optionID	MergedFPR	optionTPR	cutoff	FPR	TPR	M6APeakModel	TPRmFPR	maxTPRmFPR	Mode
exomePeak2	Combo19	mean_Ex_bin100_P2	0.06	0.52	1.65	0.06	0.62	NEB	0.56	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.06	0.04	2.07	0.06	0.62	NEB	0.56	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.07	0.41	2.56	0.07	0.62	NEB	0.55	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.07	0.46	2.3	0.07	0.62	NEB	0.55	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.07	0.49	2.59	0.07	0.62	NEB	0.55	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.07	0.49	2.13	0.07	0.62	NEB	0.55	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.07	0.45	1.94	0.07	0.62	NEB	0.55	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.07	0.36	2.88	0.07	0.62	NEB	0.55	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.07	0.52	1.65	0.07	0.62	NEB	0.55	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.07	0.04	2.07	0.07	0.62	NEB	0.55	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.08	0.43	2.26	0.08	0.65	NEB	0.57	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.08	0.46	2.3	0.08	0.65	NEB	0.57	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.08	0.53	2.17	0.08	0.65	NEB	0.57	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.08	0.49	2.13	0.08	0.65	NEB	0.57	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.08	0.5	1.7	0.08	0.65	NEB	0.57	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.08	0.38	2.56	0.08	0.65	NEB	0.57	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.08	0.54	1.58	0.08	0.65	NEB	0.57	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.08	0.04	1.86	0.08	0.65	NEB	0.57	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.09	0.44	2.2	0.09	0.66	NEB	0.57	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.09	0.53	1.87	0.09	0.66	NEB	0.57	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.09	0.53	2.17	0.09	0.66	NEB	0.57	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.09	0.49	2.13	0.09	0.66	NEB	0.57	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.09	0.5	1.7	0.09	0.66	NEB	0.57	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.09	0.38	2.48	0.09	0.66	NEB	0.57	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.09	0.55	1.52	0.09	0.66	NEB	0.57	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.09	0.04	1.81	0.09	0.66	NEB	0.57	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.1	0.44	2.14	0.1	0.66	NEB	0.56	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.1	0.53	1.87	0.1	0.66	NEB	0.56	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.1	0.53	2.17	0.1	0.66	NEB	0.56	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.1	0.55	1.82	0.1	0.66	NEB	0.56	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.1	0.5	1.7	0.1	0.66	NEB	0.56	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.1	0.38	2.4	0.1	0.66	NEB	0.56	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.1	0.56	1.47	0.1	0.66	NEB	0.56	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.1	0.04	1.75	0.1	0.66	NEB	0.56	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.11	0.45	2.03	0.11	0.68	NEB	0.57	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.11	0.53	1.87	0.11	0.68	NEB	0.57	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.11	0.57	1.87	0.11	0.68	NEB	0.57	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.11	0.55	1.82	0.11	0.68	NEB	0.57	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.11	0.52	1.54	0.11	0.68	NEB	0.57	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.11	0.4	2.16	0.11	0.68	NEB	0.57	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.11	0.56	1.43	0.11	0.68	NEB	0.57	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.11	0.04	1.66	0.11	0.68	NEB	0.57	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.12	0.45	2.03	0.12	0.69	NEB	0.57	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.12	0.53	1.87	0.12	0.69	NEB	0.57	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.12	0.57	1.87	0.12	0.69	NEB	0.57	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.12	0.55	1.82	0.12	0.69	NEB	0.57	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.12	0.52	1.54	0.12	0.69	NEB	0.57	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.12	0.41	2.09	0.12	0.69	NEB	0.57	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.12	0.58	1.36	0.12	0.69	NEB	0.57	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.12	0.04	1.66	0.12	0.69	NEB	0.57	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.13	0.46	1.9	0.13	0.71	NEB	0.58	0.58	Moderate
MACS2	Combo42	mean_Ex_bin100_P2	0.13	0.59	1.62	0.13	0.71	NEB	0.58	0.58	Moderate
TRESS	Combo32	mean_Ex_bin100_P1	0.13	0.6	1.67	0.13	0.71	NEB	0.58	0.58	Moderate
MACS2	Combo50	mean_Tx_bin100_P2	0.13	0.55	1.82	0.13	0.71	NEB	0.58	0.58	Moderate
exomePeak	Combo28	mean_Ex_bin100_P2	0.13	0.52	1.54	0.13	0.71	NEB	0.58	0.58	Moderate
exomePeak2	Combo5	mean_Tx_bin100_P1	0.13	0.42	1.96	0.13	0.71	NEB	0.58	0.58	Moderate
exomePeak2	Combo19	mean_Ex_bin100_P2	0.13	0.59	1.33	0.13	0.71	NEB	0.58	0.58	Moderate
MeTPeak	Combo30	mean_Ex_bin0_P1	0.13	0.04	1.62	0.13	0.71	NEB	0.58	0.58	Moderate
exomePeak	Combo17	mean_Ex_bin100_P1	0.14	0.46	1.85	0.14	0.71	NEB	0.57	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.14	0.59	1.62	0.14	0.71	NEB	0.57	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.14	0.6	1.67	0.14	0.71	NEB	0.57	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.14	0.6	1.63	0.14	0.71	NEB	0.57	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.14	0.55	1.42	0.14	0.71	NEB	0.57	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.14	0.43	1.83	0.14	0.71	NEB	0.57	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.14	0.59	1.33	0.14	0.71	NEB	0.57	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.14	0.05	1.58	0.14	0.71	NEB	0.57	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.15	0.48	1.78	0.15	0.71	NEB	0.56	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.15	0.59	1.62	0.15	0.71	NEB	0.56	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.15	0.03	10.85	0.15	0.71	NEB	0.56	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.15	0.6	1.67	0.15	0.71	NEB	0.56	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.15	0.6	1.63	0.15	0.71	NEB	0.56	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.15	0.55	1.42	0.15	0.71	NEB	0.56	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.15	0.43	1.77	0.15	0.71	NEB	0.56	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.15	0.6	1.31	0.15	0.71	NEB	0.56	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.15	0.05	1.55	0.15	0.71	NEB	0.56	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.16	0.48	1.74	0.16	0.72	NEB	0.56	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.16	0.59	1.62	0.16	0.72	NEB	0.56	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.16	0.04	8.6	0.16	0.72	NEB	0.56	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.16	0.62	1.53	0.16	0.72	NEB	0.56	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.16	0.6	1.63	0.16	0.72	NEB	0.56	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.16	0.55	1.42	0.16	0.72	NEB	0.56	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.16	0.44	1.65	0.16	0.72	NEB	0.56	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.16	0.6	1.31	0.16	0.72	NEB	0.56	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.16	0.05	1.55	0.16	0.72	NEB	0.56	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.17	0.48	1.7	0.17	0.72	NEB	0.55	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.17	0.59	1.62	0.17	0.72	NEB	0.55	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.17	0.05	7.34	0.17	0.72	NEB	0.55	0.58	
