Method	ComboName	optionID	MergedFPR	optionTPR	cutoff	FPR	TPR	M6APeakModel	TPRmFPR	maxTPRmFPR	Mode
MACS2	Combo13	mean_Ex_bin100_P0.5	0.07	0.22	5.51	0.07	0.58	SYSY	0.51	0.56	Strict
exomePeak2	Combo19	mean_Tx_bin50_P1	0.07	0.48	2.47	0.07	0.58	SYSY	0.51	0.56	Strict
MACS2	Combo45	mean_Ex_bin100_P0.5	0.07	0.16	6.27	0.07	0.58	SYSY	0.51	0.56	Strict
TRESS	Combo40	mean_Tx_bin100_P0.5	0.07	0.38	3.97	0.07	0.58	SYSY	0.51	0.56	Strict
TRESS	Combo67	mean_Ex_bin100_P0.5	0.08	0.21	4.97	0.08	0.58	SYSY	0.5	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.08	0.31	4.67	0.08	0.58	SYSY	0.5	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.08	0.5	2.34	0.08	0.58	SYSY	0.5	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.08	0.3	4.88	0.08	0.58	SYSY	0.5	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.08	0.45	3.45	0.08	0.58	SYSY	0.5	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.09	0.24	4.51	0.09	0.61	SYSY	0.52	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.09	0.31	4.67	0.09	0.61	SYSY	0.52	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.09	0.54	2.14	0.09	0.61	SYSY	0.52	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.09	0.3	4.88	0.09	0.61	SYSY	0.52	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.09	0.49	3.04	0.09	0.61	SYSY	0.52	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.1	0.24	4.51	0.1	0.62	SYSY	0.52	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.1	0.38	4.06	0.1	0.62	SYSY	0.52	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.1	0.55	2.05	0.1	0.62	SYSY	0.52	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.1	0.38	4.02	0.1	0.62	SYSY	0.52	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.1	0.49	3.04	0.1	0.62	SYSY	0.52	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.11	0.29	3.83	0.11	0.66	SYSY	0.55	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.11	0.38	4.06	0.11	0.66	SYSY	0.55	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.11	0.56	1.98	0.11	0.66	SYSY	0.55	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.11	0.38	4.02	0.11	0.66	SYSY	0.55	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.11	0.54	2.7	0.11	0.66	SYSY	0.55	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.12	0.32	3.57	0.12	0.68	SYSY	0.56	0.56	Moderate
MACS2	Combo13	mean_Ex_bin100_P0.5	0.12	0.43	3.59	0.12	0.68	SYSY	0.56	0.56	Moderate
exomePeak2	Combo19	mean_Tx_bin50_P1	0.12	0.58	1.91	0.12	0.68	SYSY	0.56	0.56	Moderate
MACS2	Combo45	mean_Ex_bin100_P0.5	0.12	0.46	3.42	0.12	0.68	SYSY	0.56	0.56	Moderate
TRESS	Combo40	mean_Tx_bin100_P0.5	0.12	0.54	2.7	0.12	0.68	SYSY	0.56	0.56	Moderate
TRESS	Combo67	mean_Ex_bin100_P0.5	0.13	0.32	3.57	0.13	0.69	SYSY	0.56	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.13	0.43	3.59	0.13	0.69	SYSY	0.56	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.13	0.58	1.85	0.13	0.69	SYSY	0.56	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.13	0.46	3.42	0.13	0.69	SYSY	0.56	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.13	0.57	2.43	0.13	0.69	SYSY	0.56	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.14	0.34	3.33	0.14	0.7	SYSY	0.56	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.14	0.48	3.23	0.14	0.7	SYSY	0.56	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.14	0.6	1.79	0.14	0.7	SYSY	0.56	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.14	0.46	3.42	0.14	0.7	SYSY	0.56	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.14	0.57	2.43	0.14	0.7	SYSY	0.56	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.15	0.36	3.14	0.15	0.7	SYSY	0.55	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.15	0.48	3.23	0.15	0.7	SYSY	0.55	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.15	0.6	1.74	0.15	0.7	SYSY	0.55	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.15	0.52	2.99	0.15	0.7	SYSY	0.55	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.15	0.59	2.21	0.15	0.7	SYSY	0.55	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.16	0.36	2.96	0.16	0.72	SYSY	0.56	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.16	0.52	2.93	0.16	0.72	SYSY	0.56	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.16	0.6	1.69	0.16	0.72	SYSY	0.56	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.16	0.52	2.99	0.16	0.72	SYSY	0.56	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.16	0.59	2.21	0.16	0.72	SYSY	0.56	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.17	0.38	2.8	0.17	0.72	SYSY	0.55	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.17	0.54	2.69	0.17	0.72	SYSY	0.55	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.17	0.62	1.65	0.17	0.72	SYSY	0.55	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.17	0.52	2.99	0.17	0.72	SYSY	0.55	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.17	0.61	2.04	0.17	0.72	SYSY	0.55	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.18	0.38	2.8	0.18	0.72	SYSY	0.54	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.18	0.54	2.69	0.18	0.72	SYSY	0.54	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.18	0.62	1.61	0.18	0.72	SYSY	0.54	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.18	0.56	2.65	0.18	0.72	SYSY	0.54	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.18	0.61	2.04	0.18	0.72	SYSY	0.54	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.19	0.4	2.66	0.19	0.74	SYSY	0.55	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.19	0.54	2.69	0.19	0.74	SYSY	0.55	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.19	0.62	1.57	0.19	0.74	SYSY	0.55	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.19	0.56	2.65	0.19	0.74	SYSY	0.55	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.19	0.61	2.04	0.19	0.74	SYSY	0.55	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.2	0.41	2.54	0.2	0.74	SYSY	0.54	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.2	0.57	2.49	0.2	0.74	SYSY	0.54	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.2	0.01	7.2	0.2	0.74	SYSY	0.54	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.2	0.64	1.54	0.2	0.74	SYSY	0.54	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.2	0.56	2.65	0.2	0.74	SYSY	0.54	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.2	0.63	1.89	0.2	0.74	SYSY	0.54	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.21	0.41	2.54	0.21	0.74	SYSY	0.53	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.21	0.57	2.49	0.21	0.74	SYSY	0.53	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.21	0.01	6.63	0.21	0.74	SYSY	0.53	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.21	0.64	1.54	0.21	0.74	SYSY	0.53	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.21	0.6	2.39	0.21	0.74	SYSY	0.53	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.21	0.63	1.89	0.21	0.74	SYSY	0.53	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.22	0.42	2.42	0.22	0.75	SYSY	0.53	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.22	0.59	2.33	0.22	0.75	SYSY	0.53	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.22	0.02	5.53	0.22	0.75	SYSY	0.53	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.22	0.64	1.51	0.22	0.75	SYSY	0.53	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.22	0.6	2.39	0.22	0.75	SYSY	0.53	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.22	0.64	1.77	0.22	0.75	SYSY	0.53	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.23	0.42	2.31	0.23	0.76	SYSY	0.53	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.23	0.59	2.33	0.23	0.76	SYSY	0.53	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.23	0.03	4.98	0.23	0.76	SYSY	0.53	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.23	0.64	1.48	0.23	0.76	SYSY	0.53	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.23	0.6	2.39	0.23	0.76	SYSY	0.53	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.23	0.64	1.77	0.23	0.76	SYSY	0.53	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.24	0.42	2.31	0.24	0.76	SYSY	0.52	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.24	0.61	2.19	0.24	0.76	SYSY	0.52	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.24	0.03	4.76	0.24	0.76	SYSY	0.52	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.24	0.64	1.46	0.24	0.76	SYSY	0.52	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.24	0.62	2.2	0.24	0.76	SYSY	0.52	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.24	0.64	1.77	0.24	0.76	SYSY	0.52	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.25	0.43	2.21	0.25	0.76	SYSY	0.51	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.25	0.61	2.19	0.25	0.76	SYSY	0.51	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.25	0.04	4.37	0.25	0.76	SYSY	0.51	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.25	0.64	1.43	0.25	0.76	SYSY	0.51	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.25	0.62	2.2	0.25	0.76	SYSY	0.51	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.25	0.65	1.67	0.25	0.76	SYSY	0.51	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.26	0.44	2.12	0.26	0.76	SYSY	0.5	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.26	0.61	2.19	0.26	0.76	SYSY	0.5	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.26	0.04	4.01	0.26	0.76	SYSY	0.5	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.26	0.66	1.41	0.26	0.76	SYSY	0.5	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.26	0.62	2.2	0.26	0.76	SYSY	0.5	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.26	0.65	1.67	0.26	0.76	SYSY	0.5	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.27	0.44	2.12	0.27	0.78	SYSY	0.51	0.56	Sensitive
MACS2	Combo13	mean_Ex_bin100_P0.5	0.27	0.62	2.08	0.27	0.78	SYSY	0.51	0.56	Sensitive
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.27	0.04	3.68	0.27	0.78	SYSY	0.51	0.56	Sensitive
exomePeak2	Combo19	mean_Tx_bin50_P1	0.27	0.66	1.41	0.27	0.78	SYSY	0.51	0.56	Sensitive
MACS2	Combo45	mean_Ex_bin100_P0.5	0.27	0.64	2.04	0.27	0.78	SYSY	0.51	0.56	Sensitive
TRESS	Combo40	mean_Tx_bin100_P0.5	0.27	0.65	1.67	0.27	0.78	SYSY	0.51	0.56	Sensitive
TRESS	Combo67	mean_Ex_bin100_P0.5	0.28	0.44	2.03	0.28	0.78	SYSY	0.5	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.28	0.62	2.08	0.28	0.78	SYSY	0.5	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.28	0.05	3.38	0.28	0.78	SYSY	0.5	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.28	0.66	1.39	0.28	0.78	SYSY	0.5	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.28	0.64	2.04	0.28	0.78	SYSY	0.5	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.28	0.66	1.59	0.28	0.78	SYSY	0.5	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.29	0.44	1.95	0.29	0.78	SYSY	0.49	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.29	0.64	1.98	0.29	0.78	SYSY	0.49	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.29	0.05	3.24	0.29	0.78	SYSY	0.49	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.29	0.66	1.37	0.29	0.78	SYSY	0.49	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.29	0.66	1.92	0.29	0.78	SYSY	0.49	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.29	0.66	1.59	0.29	0.78	SYSY	0.49	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.3	0.44	1.95	0.3	0.78	SYSY	0.48	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.3	0.64	1.98	0.3	0.78	SYSY	0.48	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.3	0.06	3.11	0.3	0.78	SYSY	0.48	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.3	0.66	1.35	0.3	0.78	SYSY	0.48	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.3	0.66	1.92	0.3	0.78	SYSY	0.48	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.3	0.67	1.52	0.3	0.78	SYSY	0.48	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.31	0.46	1.87	0.31	0.78	SYSY	0.47	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.31	0.65	1.9	0.31	0.78	SYSY	0.47	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.31	0.06	2.98	0.31	0.78	SYSY	0.47	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.31	0.66	1.34	0.31	0.78	SYSY	0.47	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.31	0.66	1.92	0.31	0.78	SYSY	0.47	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.31	0.67	1.52	0.31	0.78	SYSY	0.47	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.32	0.46	1.79	0.32	0.78	SYSY	0.46	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.32	0.65	1.9	0.32	0.78	SYSY	0.46	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.32	0.06	2.85	0.32	0.78	SYSY	0.46	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.32	0.66	1.32	0.32	0.78	SYSY	0.46	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.32	0.68	1.81	0.32	0.78	SYSY	0.46	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.32	0.67	1.52	0.32	0.78	SYSY	0.46	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.33	0.46	1.79	0.33	0.79	SYSY	0.46	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.33	0.66	1.82	0.33	0.79	SYSY	0.46	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.33	0.06	2.73	0.33	0.79	SYSY	0.46	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.33	0.66	1.3	0.33	0.79	SYSY	0.46	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.33	0.68	1.81	0.33	0.79	SYSY	0.46	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.33	0.68	1.46	0.33	0.79	SYSY	0.46	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.34	0.46	1.72	0.34	0.79	SYSY	0.45	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.34	0.66	1.82	0.34	0.79	SYSY	0.45	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.34	0.06	2.49	0.34	0.79	SYSY	0.45	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.34	0.66	1.3	0.34	0.79	SYSY	0.45	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.34	0.68	1.81	0.34	0.79	SYSY	0.45	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.34	0.68	1.46	0.34	0.79	SYSY	0.45	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.35	0.46	1.72	0.35	0.8	SYSY	0.45	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.35	0.67	1.75	0.35	0.8	SYSY	0.45	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.35	0.06	2.38	0.35	0.8	SYSY	0.45	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.35	0.67	1.28	0.35	0.8	SYSY	0.45	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.35	0.7	1.73	0.35	0.8	SYSY	0.45	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.35	0.68	1.41	0.35	0.8	SYSY	0.45	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.36	0.46	1.65	0.36	0.8	SYSY	0.44	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.36	0.67	1.75	0.36	0.8	SYSY	0.44	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.36	0.06	2.27	0.36	0.8	SYSY	0.44	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.36	0.67	1.27	0.36	0.8	SYSY	0.44	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.36	0.7	1.73	0.36	0.8	SYSY	0.44	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.36	0.68	1.41	0.36	0.8	SYSY	0.44	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.37	0.46	1.58	0.37	0.8	SYSY	0.43	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.37	0.68	1.68	0.37	0.8	SYSY	0.43	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.37	0.06	2.17	0.37	0.8	SYSY	0.43	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.37	0.68	1.25	0.37	0.8	SYSY	0.43	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.37	0.7	1.66	0.37	0.8	SYSY	0.43	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.37	0.68	1.41	0.37	0.8	SYSY	0.43	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.38	0.46	1.58	0.38	0.8	SYSY	0.42	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.38	0.69	1.62	0.38	0.8	SYSY	0.42	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.38	0.06	2.08	0.38	0.8	SYSY	0.42	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.38	0.68	1.23	0.38	0.8	SYSY	0.42	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.38	0.7	1.66	0.38	0.8	SYSY	0.42	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.38	0.69	1.36	0.38	0.8	SYSY	0.42	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.39	0.46	1.52	0.39	0.8	SYSY	0.41	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.39	0.7	1.56	0.39	0.8	SYSY	0.41	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.39	0.06	1.97	0.39	0.8	SYSY	0.41	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.39	0.68	1.21	0.39	0.8	SYSY	0.41	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.39	0.7	1.66	0.39	0.8	SYSY	0.41	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.39	0.69	1.36	0.39	0.8	SYSY	0.41	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.4	0.46	1.52	0.4	0.8	SYSY	0.4	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.4	0.7	1.56	0.4	0.8	SYSY	0.4	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.4	0.06	1.88	0.4	0.8	SYSY	0.4	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.4	0.68	1.19	0.4	0.8	SYSY	0.4	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.4	0.72	1.59	0.4	0.8	SYSY	0.4	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.4	0.69	1.33	0.4	0.8	SYSY	0.4	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.41	0.47	1.46	0.41	0.8	SYSY	0.39	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.41	0.71	1.5	0.41	0.8	SYSY	0.39	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.41	0.06	1.79	0.41	0.8	SYSY	0.39	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.41	0.68	1.19	0.41	0.8	SYSY	0.39	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.41	0.72	1.59	0.41	0.8	SYSY	0.39	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.41	0.69	1.33	0.41	0.8	SYSY	0.39	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.42	0.47	1.46	0.42	0.8	SYSY	0.38	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.42	0.71	1.45	0.42	0.8	SYSY	0.38	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.42	0.07	1.69	0.42	0.8	SYSY	0.38	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.42	0.68	1.17	0.42	0.8	SYSY	0.38	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.42	0.72	1.54	0.42	0.8	SYSY	0.38	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.42	0.69	1.3	0.42	0.8	SYSY	0.38	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.43	0.47	1.41	0.43	0.8	SYSY	0.37	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.43	0.72	1.4	0.43	0.8	SYSY	0.37	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.43	0.07	1.61	0.43	0.8	SYSY	0.37	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.43	0.68	1.14	0.43	0.8	SYSY	0.37	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.43	0.72	1.54	0.43	0.8	SYSY	0.37	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.43	0.69	1.3	0.43	0.8	SYSY	0.37	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.44	0.47	1.37	0.44	0.81	SYSY	0.37	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.44	0.72	1.4	0.44	0.81	SYSY	0.37	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.44	0.07	1.53	0.44	0.81	SYSY	0.37	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.44	0.68	1.14	0.44	0.81	SYSY	0.37	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.44	0.72	1.49	0.44	0.81	SYSY	0.37	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.44	0.7	1.27	0.44	0.81	SYSY	0.37	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.45	0.47	1.37	0.45	0.81	SYSY	0.36	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.45	0.72	1.35	0.45	0.81	SYSY	0.36	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.45	0.07	1.44	0.45	0.81	SYSY	0.36	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.45	0.68	1.12	0.45	0.81	SYSY	0.36	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.45	0.72	1.49	0.45	0.81	SYSY	0.36	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.45	0.7	1.27	0.45	0.81	SYSY	0.36	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.46	0.48	1.33	0.46	0.81	SYSY	0.35	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.46	0.72	1.3	0.46	0.81	SYSY	0.35	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.46	0.07	1.37	0.46	0.81	SYSY	0.35	0.56	
exomePeak2	Combo19	mean_Tx_bin50_P1	0.46	0.68	1.12	0.46	0.81	SYSY	0.35	0.56	
MACS2	Combo45	mean_Ex_bin100_P0.5	0.46	0.74	1.44	0.46	0.81	SYSY	0.35	0.56	
TRESS	Combo40	mean_Tx_bin100_P0.5	0.46	0.7	1.27	0.46	0.81	SYSY	0.35	0.56	
TRESS	Combo67	mean_Ex_bin100_P0.5	0.47	0.48	1.33	0.47	0.81	SYSY	0.34	0.56	
MACS2	Combo13	mean_Ex_bin100_P0.5	0.47	0.73	1.25	0.47	0.81	SYSY	0.34	0.56	
MeRIPtools	Combo12	mean_Ex_bin0_P0.5	0.47	0.07	1.29	0.47	0.81	SYSY	0.34	0.56	
